P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S18	S11	S00	0.867886	148.475	2.3e-16	0.103193	30698.2	22717	1606.75
S19	S11	S00	0.867611	148.917	2.3e-16	0.103186	23777.7	22719.2	1610.5
S12	S13	S00	0.0732862	2.57161	0.0101227	0.00419611	52777.6	6123.5	5287.25
S12	S14	S00	0.768289	46.9748	2.3e-16	0.1449	45037.4	33232	4354.62
S12	S15	S00	0.0837855	2.90699	0.0036493	0.00478444	52970.9	6166.88	5213.38
S12	S16	S00	0.0871173	2.91243	0.00358629	0.00499393	52937.1	6209.75	5214.5
S17	S12	S00	0.550139	17.3328	2.3e-16	0.0258707	41185.5	7456.75	2164
S18	S12	S00	0.546379	16.9972	2.3e-16	0.0258065	27389.6	7470.75	2191.5
S19	S12	S00	0.546309	16.9779	2.3e-16	0.0257993	27385.4	7469.25	2191.5
S13	S14	S00	0.871346	58.9674	2.3e-16	0.141297	66377.2	30111.2	2070.12
S13	S15	S00	0.023991	1.33057	0.183332	0.000590813	78640	2502.25	2385
S13	S16	S00	0.0325753	1.72911	0.0837888	0.000801188	78667.6	2520	2361
S17	S13	S00	0.54976	18.8856	2.3e-16	0.0299583	19129.8	8638.75	2509.75
S18	S13	S00	0.548426	18.3596	2.3e-16	0.0298943	19165	8633.25	2517.75
S19	S13	S00	0.548267	18.3551	2.3e-16	0.0298872	19158	8632.75	2518.75
S15	S14	S00	0.897297	70.2044	2.3e-16	0.140789	71725.3	29521.9	1598.06
S16	S14	S00	0.897498	69.554	2.3e-16	0.140608	71852.9	29474.3	1592.19
S00	S14	S17	0.768504	79.0704	2.3e-16	0.0690785	36301.6	16283.5	2131.5
S00	S14	S18	0.767717	74.0426	2.3e-16	0.0690396	36298.1	16297.2	2141.5
S00	S14	S19	0.767453	73.3349	2.3e-16	0.0688918	36299.1	16295.2	2144
S15	S16	S00	0.100663	1.23708	0.216059	0.000210499	129698	228.25	186.5
S17	S15	S00	0.557987	19.5383	2.3e-16	0.0305314	19173.8	8720.25	2474
S18	S15	S00	0.556558	19.004	2.3e-16	0.0304674	19202.8	8715.75	2483
S19	S15	S00	0.556399	18.9894	2.3e-16	0.0304603	19201.8	8715.25	2484
S17	S16	S00	0.559306	19.6681	2.3e-16	0.0307355	19128.8	8765.25	2477.25
S18	S16	S00	0.557882	19.1147	2.3e-16	0.0306715	19159.5	8760.75	2486.25
S19	S16	S00	0.557724	19.1035	2.3e-16	0.0306644	19158.5	8760.25	2487.25
S17	S18	S00	0.0570825	0.576791	0.564081	6.59874e-05	81593	125	111.5
S17	S19	S00	0.0632911	0.730813	0.464893	7.33194e-05	81567	126	111
S18	S19	S00	0.111111	0.410588	0.681375	7.33242e-06	133484	7.5	6
S03	S02	S01	0.0104484	0.565643	0.571636	0.000842624	13880.6	4110.12	4025.12
S04	S02	S01	0.00930466	0.482879	0.629181	0.000746665	13859.2	4084.69	4009.38
S01	S02	S05	0.142857	2.09749	0.0359499	0.000307444	72062.9	214	160.5
S01	S02	S06	0.113924	1.45682	0.145167	0.000246543	72118.1	209	166.25
S01	S02	S07	0.100332	1.30565	0.191672	0.000218138	72085.1	207	169.25
S01	S02	S08	0.0971867	1.37498	0.169136	0.000220382	71985.9	214.5	176.5
S02	S01	S09	0.0153531	0.185134	0.853124	2.09137e-05	78787.4	124	120.25
S01	S02	S10	0.0406043	0.548142	0.583594	5.98767e-05	78811.4	137.75	127
S01	S02	S11	0.0873684	1.0276	0.304136	0.000120326	82998.1	129.125	108.375
S02	S01	S12	0.121076	1.33542	0.181739	7.32405e-05	100786	62.5	49
