P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S01	S05	S13	0.00980436	0.474296	0.635289	0.000270283	20073	2845.25	2790
S01	S05	S14	0.0068788	0.339203	0.734457	0.000189639	20089.2	2836	2797.25
S01	S05	S15	0.00804409	0.403616	0.686495	0.000221118	20080.8	2835.25	2790
S01	S05	S16	0.00626527	0.308669	0.757573	0.000170662	20088.8	2830.75	2795.5
S01	S05	S17	0.00821893	0.404037	0.686186	0.000226854	20086	2836.75	2790.5
S01	S05	S18	0.00822186	0.404854	0.685585	0.0002261	20084.2	2835.75	2789.5
S01	S05	S19	0.00822186	0.404854	0.685585	0.000226231	20082.8	2835.75	2789.5
S06	S07	S01	0.111111	0.547243	0.584212	1.60144e-05	123962	15	12
S06	S01	S08	0.00956429	0.473501	0.635856	0.000263164	20022.5	2850	2796
S06	S01	S09	0.00157878	0.0696598	0.944464	4.26899e-05	20081.5	2775.5	2766.75
S06	S01	S10	0.0135484	0.683737	0.494141	0.000369677	19964.5	2842.75	2766.75
S01	S06	S11	0.00983289	0.475642	0.63433	0.000272101	20143.5	2862.75	2807
S06	S01	S12	0.00233203	0.121876	0.902997	6.43801e-05	20124.5	2847.5	2834.25
S01	S06	S13	0.00820581	0.400911	0.688486	0.000226255	20062.8	2841.25	2795
S01	S06	S14	0.00528021	0.262989	0.792559	0.000145594	20079	2832	2802.25
S01	S06	S15	0.00644301	0.326551	0.744007	0.000177139	20070.5	2831.25	2795
S01	S06	S16	0.0046648	0.232176	0.816402	0.000127088	20078.5	2826.75	2800.5
S01	S06	S17	0.0066184	0.328647	0.742422	0.000182709	20075.8	2832.75	2795.5
S01	S06	S18	0.00662075	0.329322	0.741913	0.000182102	20074	2831.75	2794.5
S01	S06	S19	0.00662075	0.329322	0.741913	0.000182207	20072.5	2831.75	2794.5
S07	S01	S08	0.00885583	0.44161	0.658772	0.000243675	20023.5	2848	2798
S07	S01	S09	0.000496009	0.0220518	0.982407	1.34172e-05	20082.5	2773.5	2770.75
S07	S01	S10	0.0128354	0.648619	0.516585	0.000350228	19965.5	2840.75	2768.75
S01	S07	S11	0.0110578	0.533071	0.593984	0.000306266	20145.5	2868.75	2806
S07	S01	S12	0.00127602	0.0666857	0.946832	3.52279e-05	20124.5	2844.5	2837.25
S01	S07	S13	0.00926706	0.452409	0.650975	0.000255607	20063.8	2845.25	2793
S01	S07	S14	0.00634287	0.315732	0.752206	0.000174957	20080	2836	2800.25
S01	S07	S15	0.00750677	0.380322	0.703707	0.000206458	20071.5	2835.25	2793
S01	S07	S16	0.005729	0.285059	0.775599	0.000156137	20079.5	2830.75	2798.5
S01	S07	S17	0.00768172	0.381381	0.702921	0.000212139	20076.8	2836.75	2793.5
S01	S07	S18	0.00768445	0.382164	0.70234	0.000211434	20075	2835.75	2792.5
S01	S07	S19	0.00768445	0.382164	0.70234	0.000211556	20073.5	2835.75	2792.5
S09	S08	S01	0.0516641	1.84897	0.0644626	0.000652375	34082.5	1358.75	1225.25
S08	S10	S01	0.0201769	0.774727	0.438501	0.000248162	34248.6	1283	1232.25
S11	S08	S01	0.0251187	1.51587	0.129552	0.0008013	17516.2	3346.5	3182.5
S12	S08	S01	0.0158694	0.932394	0.351133	0.000510733	17503.8	3344.75	3240.25
S13	S08	S01	0.0147133	0.737677	0.460711	0.000465546	17544.8	3284.5	3189.25
S14	S08	S01	0.0161209	0.847614	0.396653	0.000509512	17537.2	3285.5	3181.25
S15	S08	S01	0.0159295	0.84695	0.397023	0.000503405	17548.2	3284.5	3181.5
S16	S08	S01	0.0163452	0.839867	0.400983	0.000515618	17546	3280	3174.5
S17	S08	S01	0.016657	0.865552	0.386736	0.000526609	17539.5	3288.25	3180.5
S18	S08	S01	0.016543	0.862197	0.388579	0.000522945	17541	3287.5	3180.5
S19	S08	S01	0.0163149	0.850487	0.395054	0.000515618	17540.8	3286	3180.5
S09	S10	S01	0.0745574	4.35472	1.33237e-05	0.000900375	34227.5	1327.75	1143.5
S11	S09	S01	0.00468906	0.264876	0.791105	0.000149022	17554.8	3267.5	3237
S09	S12	S01	0.00442951	0.270775	0.786564	0.000141714	17529.5	3288	3259
S09	S13	S01	0.00592174	0.328477	0.742551	0.000186916	17567.8	3248.75	3210.5
S09	S14	S01	0.0045333	0.255532	0.798312	0.000142936	17557.2	3240.75	3211.5
S09	S15	S01	0.00472905	0.27095	0.786429	0.000149044	17557.5	3240	3209.5
S09	S16	S01	0.00434513	0.242242	0.808592	0.000136828	17556.2	3236	3208
S09	S17	S01	0.00399209	0.225693	0.82144	0.000125833	17556.5	3238	3212.25
S09	S18	S01	0.00411012	0.233396	0.815454	0.000129498	17559	3237	3210.5
S09	S19	S01	0.00434243	0.246117	0.805592	0.000136828	17558	3238	3210
S11	S10	S01	0.0331724	1.82537	0.067945	0.00104926	17523	3344.25	3129.5
S12	S10	S01	0.0237522	1.48655	0.137133	0.000758768	17630.2	3345.75	3190.5
S13	S10	S01	0.0229038	1.16878	0.242491	0.000713592	17666	3260.25	3114.25
S14	S10	S01	0.0242966	1.29841	0.194147	0.000757547	17656.5	3267.25	3112.25
S15	S10	S01	0.0241186	1.30485	0.191943	0.000751443	17662.8	3264.25	3110.5
S16	S10	S01	0.0245396	1.29302	0.196004	0.000763652	17668.5	3261.75	3105.5
S17	S10	S01	0.0248842	1.32008	0.18681	0.00077464	17657.8	3264	3105.5
S18	S10	S01	0.0247694	1.31593	0.188197	0.000770977	17661.2	3263.25	3105.5
S19	S10	S01	0.0245319	1.30189	0.192954	0.000763652	17660	3262.75	3106.5
S11	S12	S01	0.0140479	0.588106	0.556461	0.000290716	25238.5	2147.5	2088
S11	S13	S01	0.0164602	0.734083	0.462898	0.000335911	25204	2122.75	2054
S11	S14	S01	0.0142576	0.668231	0.503986	0.000291937	25218.2	2125.25	2065.5
S11	S15	S01	0.0145204	0.686806	0.492205	0.000298044	25220.5	2131	2070
S11	S16	S01	0.0139203	0.638957	0.522851	0.00028583	25237.5	2130.5	2072
S11	S17	S01	0.0133857	0.617134	0.537146	0.000274836	25233.5	2129.25	2073
S11	S18	S01	0.0135844	0.624133	0.53254	0.000278501	25230.5	2126.5	2069.5
S11	S19	S01	0.0139468	0.639144	0.52273	0.00028583	25231.2	2126.5	2068
S12	S13	S01	0.0087657	0.190918	0.848589	4.52084e-05	51177.8	532.25	523
S12	S14	S01	0.000243724	0.00530197	0.99577	1.22185e-06	51234.5	513	512.75
S12	S15	S01	0.00144023	0.0344355	0.97253	7.33109e-06	51168.2	521.5	520
S16	S12	S01	0.000958773	0.0210693	0.98319	4.88737e-06	51201.8	522	521
S17	S12	S01	0.00311676	0.0692399	0.944799	1.58838e-05	51179.2	523	519.75
S18	S12	S01	0.00241196	0.0532258	0.957552	1.22183e-05	51173	519.5	517
S19	S12	S01	0.00096432	0.0212095	0.983079	4.88737e-06	51167.2	519	518
S14	S13	S01	0.0501393	0.601081	0.547786	4.39866e-05	88171.5	94.25	85.25
S15	S13	S01	0.0471842	0.519621	0.603327	3.78776e-05	88127.8	86	78.25
S16	S13	S01	0.0643642	0.838051	0.402002	5.00956e-05	88190.2	84.75	74.5
S17	S13	S01	0.0728863	0.988996	0.322665	6.10915e-05	88142.2	92	79.5
S18	S13	S01	0.0692194	0.965092	0.334499	5.74262e-05	88056.2	90.75	79
S19	S13	S01	0.0605613	0.846175	0.397455	5.00956e-05	88048.4	89.75	79.5
S14	S15	S01	0.0276243	0.144286	0.885275	6.10925e-06	112502	23.25	22
S16	S14	S01	0.027933	0.148222	0.882168	6.10922e-06	112536	23	21.75
S17	S14	S01	0.07	0.409579	0.682115	1.71056e-05	112392	26.75	23.25
S18	S14	S01	0.0569948	0.302634	0.762168	1.34402e-05	112307	25.5	22.75
S19	S14	S01	0.026178	0.140406	0.888339	6.10922e-06	112296	24.5	23.25
S16	S15	S01	0.0485437	0.264247	0.791589	1.22184e-05	115216	27	24.5
